timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673546158372,781,Homepage-0,301,Moved Permanently,Thread Group 1-157,text,true,,313,119,83,83,http://www.w3schools.com/,781,0,87
1673546159154,3620,Homepage-1,200,OK,Thread Group 1-157,text,true,,119681,123,83,83,https://www.w3schools.com:443/,1943,0,1595
1673546159643,3240,Homepage,200,OK,Thread Group 1-183,text,true,,119994,242,82,82,https://www.w3schools.com:443/,497,0,90
1673546159643,497,Homepage-0,301,Moved Permanently,Thread Group 1-183,text,true,,313,119,82,82,http://www.w3schools.com/,497,0,90
1673546160140,2743,Homepage-1,200,OK,Thread Group 1-183,text,true,,119681,123,82,82,https://www.w3schools.com:443/,1894,0,1191
1673546158021,4903,Homepage,200,OK,Thread Group 1-150,text,true,,119994,242,81,81,https://www.w3schools.com:443/,471,0,85
1673546158021,471,Homepage-0,301,Moved Permanently,Thread Group 1-150,text,true,,313,119,81,81,http://www.w3schools.com/,471,0,85
1673546158492,4432,Homepage-1,200,OK,Thread Group 1-150,text,true,,119681,123,81,81,https://www.w3schools.com:443/,702,0,183
1673546155318,7710,Homepage,200,OK,Thread Group 1-97,text,true,,119994,242,80,80,https://www.w3schools.com:443/,467,0,80
1673546155318,467,Homepage-0,301,Moved Permanently,Thread Group 1-97,text,true,,313,119,80,80,http://www.w3schools.com/,467,0,80
1673546155787,7241,Homepage-1,200,OK,Thread Group 1-97,text,true,,119681,123,80,80,https://www.w3schools.com:443/,657,0,162
1673546155667,7394,Homepage,200,OK,Thread Group 1-104,text,true,,119994,242,79,79,https://www.w3schools.com:443/,467,0,85
1673546158996,4065,Homepage,200,OK,Thread Group 1-170,text,true,,119994,242,79,79,https://www.w3schools.com:443/,744,0,70
1673546155667,467,Homepage-0,301,Moved Permanently,Thread Group 1-104,text,true,,313,119,79,79,http://www.w3schools.com/,467,0,85
1673546158996,744,Homepage-0,301,Moved Permanently,Thread Group 1-170,text,true,,313,119,79,79,http://www.w3schools.com/,744,0,70
1673546156135,6926,Homepage-1,200,OK,Thread Group 1-104,text,true,,119681,123,79,79,https://www.w3schools.com:443/,3428,0,856
1673546159741,3320,Homepage-1,200,OK,Thread Group 1-170,text,true,,119681,123,79,79,https://www.w3schools.com:443/,1034,0,622
1673546157066,6017,Homepage,200,OK,Thread Group 1-132,text,true,,119994,242,77,77,https://www.w3schools.com:443/,866,0,83
1673546157066,866,Homepage-0,301,Moved Permanently,Thread Group 1-132,text,true,,313,119,77,77,http://www.w3schools.com/,866,0,83
1673546157933,5150,Homepage-1,200,OK,Thread Group 1-132,text,true,,119681,123,77,77,https://www.w3schools.com:443/,1589,0,1221
1673546159350,3770,Homepage,200,OK,Thread Group 1-177,text,true,,119994,242,76,76,https://www.w3schools.com:443/,833,0,80
1673546159350,833,Homepage-0,301,Moved Permanently,Thread Group 1-177,text,true,,313,119,76,76,http://www.w3schools.com/,833,0,80
1673546160184,2936,Homepage-1,200,OK,Thread Group 1-177,text,true,,119681,123,76,76,https://www.w3schools.com:443/,2178,0,1943
1673546157866,5277,Homepage,200,OK,Thread Group 1-147,text,true,,119994,242,75,75,https://www.w3schools.com:443/,1461,0,1087
1673546157866,1461,Homepage-0,301,Moved Permanently,Thread Group 1-147,text,true,,313,119,75,75,http://www.w3schools.com/,1461,0,1087
1673546159328,3815,Homepage-1,200,OK,Thread Group 1-147,text,true,,119681,123,75,75,https://www.w3schools.com:443/,760,0,164
1673546157835,5313,Homepage,200,OK,Thread Group 1-146,text,true,,119994,242,74,74,https://www.w3schools.com:443/,479,0,99
